time,original,missing,interpolated,mask
0,2.7067557714273636,2.7067557714273636,2.7067557714273636,0
1,0.11184457591043269,0.11184457591043269,0.11184457591043269,0
2,0.2593666615894955,0.2593666615894955,0.2593666615894955,0
3,-0.9279701476294723,-0.9279701476294723,-0.9279701476294723,0
4,0.7105178542928482,0.7105178542928482,0.7105178542928482,0
5,-1.2854828357965529,-1.2854828357965529,-1.2854828357965529,0
6,-1.5075970568178707,,-1.199179284851315,1
7,0.7549862299547142,,-1.112875733906077,1
8,0.6849306265560064,,-1.0265721829608392,1
9,-0.5684979221100543,,-0.9402686320156014,1
10,0.05356287680892149,,-0.8539650810703635,1
11,-1.034614985931507,,-0.7676615301251257,1
12,-0.9541574100731448,,-0.6813579791798878,1
13,2.573888046581228,,-0.5950544282346499,1
14,2.151633922958116,,-0.508750877289412,1
15,-0.31347286778580646,,-0.42244732634417415,1
16,-0.16607635205035948,,-0.33614377539893636,1
17,1.2875896361706178,,-0.24984022445369858,1
18,-1.2092120337009895,,-0.16353667350846068,1
19,-0.5632927113795122,,-0.07723312256322279,1
20,-1.119726097225335,,0.009070428382015105,1
21,1.5902835378068887,,0.095373979327253,1
22,-1.1872568364570655,,0.1816775302724909,1
23,-1.7208582528447651,,0.2679810812177288,1
24,-0.8925522523554436,,0.3542846321629667,1
25,0.26836646806637543,,0.4405881831082046,1
26,-0.10549844755382501,,0.5268917340534423,1
27,1.7591383422981202,,0.6131952849986801,1
28,1.1768146730339384,,0.699498835943918,1
29,-0.4403838231279263,,0.7858023868891557,1
30,0.22926174121273282,,0.8721059378343936,1
31,0.18871749346226713,,0.9584094887796315,1
32,-0.22512014646059192,,1.0447130397248694,1
33,0.461424367817839,,1.1310165906701073,1
34,0.674731302933079,,1.2173201416153452,1
35,0.0646925361650408,,1.303623692560583,1
36,1.3899272435058208,1.3899272435058208,1.3899272435058208,0
37,1.3768810772493845,1.3768810772493845,1.3768810772493845,0
38,0.08319707043749577,,1.1466437299012153,1
39,-0.5436266944246295,,0.9164063825530464,1
40,-1.738101318419737,,0.6861690352048773,1
41,0.1325484600948892,,0.45593168785670823,1
42,-0.26987857410802346,,0.2256943405085392,1
43,0.24811015341059292,,-0.004543006839629937,1
44,0.39757294966252615,,-0.23478035418779886,1
45,0.8249190019856553,,-0.465017701535968,1
46,1.2504080227885095,,-0.6952550488841369,1
47,-0.272611349963041,,-0.9254923962323061,1
48,-1.1557297435804752,-1.1557297435804752,-1.1557297435804752,0
49,0.27370571774005226,0.27370571774005226,0.27370571774005226,0
50,0.652499637019197,0.652499637019197,0.652499637019197,0
51,0.1593042696663655,0.1593042696663655,0.1593042696663655,0
52,1.067578618631472,1.067578618631472,1.067578618631472,0
53,1.7882533289248435,1.7882533289248435,1.7882533289248435,0
54,-0.06172414386781654,,1.6142592870527037,1
55,0.03671341127632225,,1.4402652451805642,1
56,-2.0601649818781453,,1.2662712033084245,1
57,0.9746057540199417,,1.092277161436285,1
58,1.4023181271129752,,0.9182831195641452,1
59,-0.6370486051534495,,0.7442890776920055,1
60,-0.1309395072360772,,0.570295035819866,1
61,-1.0654232016194836,,0.3963009939477262,1
62,1.1870093320013064,,0.22230695207558648,1
63,-1.3820942473846032,,0.04831291020344697,1
64,-0.12568113166869282,-0.12568113166869282,-0.12568113166869282,0
65,-0.54186856449194,-0.54186856449194,-0.54186856449194,0
66,-0.39537130274406196,-0.39537130274406196,-0.39537130274406196,0
67,0.25212402900728165,0.25212402900728165,0.25212402900728165,0
68,0.20996916605036933,0.20996916605036933,0.20996916605036933,0
69,0.6778845411057268,0.6778845411057268,0.6778845411057268,0
70,1.922455811008034,,0.6325474608390635,1
71,0.015230459685757994,,0.5872103805724002,1
72,-0.23277343342374424,,0.5418733003057369,1
73,0.7883122467405818,,0.4965362200390735,1
74,1.2335878279302834,,0.4511991397724102,1
75,-2.877505246273259,,0.4058620595057469,1
76,0.39055654944252616,,0.36052497923908355,1
77,-1.261563633836928,,0.3151878989724202,1
78,0.055733575489926836,,0.2698508187057569,1
79,1.204375883802186,,0.22451373843909356,1
80,0.17917665817243025,0.17917665817243025,0.17917665817243025,0
81,-1.5981172864567135,-1.5981172864567135,-1.5981172864567135,0
82,-0.25229196499662343,-0.25229196499662343,-0.25229196499662343,0
83,0.75686044834687,0.75686044834687,0.75686044834687,0
84,1.5725300107181934,1.5725300107181934,1.5725300107181934,0
85,-0.3253820763921233,-0.3253820763921233,-0.3253820763921233,0
86,1.1870786292405886,1.1870786292405886,1.1870786292405886,0
87,1.9947755284806894,1.9947755284806894,1.9947755284806894,0
88,-0.46743066497133523,,1.8511061262799724,1
89,-0.11488203774920035,,1.7074367240792556,1
90,-1.2645853811478542,,1.5637673218785386,1
91,0.43290569848319377,,1.4200979196778216,1
92,-0.9212154918367155,,1.2764285174771048,1
93,0.25637983966733996,,1.1327591152763878,1
94,3.534945092164704,,0.9890897130756711,1
95,0.6806681606346,,0.8454203108749541,1
96,1.297949506710761,,0.7017509086742371,1
97,1.141788709670248,,0.5580815064735203,1
98,0.41441210427280334,0.41441210427280334,0.41441210427280334,0
